((2, 7), (3, 2))
((13, 8), (12, 3))
((13, 9), (11, 7))
((7, 4), (8, 2))
((12, 3), (1, 4))
((8, 9), (7, 9))
((13, 8), (7, 11))
((12, 12), (3, 3))
((13, 11), (12, 13))
((5, 5), (6, 1))
((3, 7), (11, 7))
((9, 4), (4, 7))
((8, 1), (7, 9))
((13, 12), (13, 12))
((5, 1), (11, 5))
((3, 12), (12, 3))
((1, 1), (13, 4))
((3, 6), (8, 9))
((7, 1), (3, 11))
((12, 13), (5, 13))
((13, 5), (5, 10))
((13, 2), (12, 2))
((13, 4), (10, 11))
((12, 4), (1, 5))
((5, 4), (2, 13))
((8, 9), (12, 13))
((13, 4), (3, 1))
((8, 7), (1, 7))
((4, 7), (5, 3))
((12, 1), (5, 12))
((7, 4), (3, 4))
((2, 4), (3, 11))
((1, 2), (13, 7))
((3, 13), (3, 13))
((2, 1), (9, 13))
((5, 9), (3, 4))
((9, 6), (3, 2))
((5, 6), (1, 11))
((11, 7), (1, 11))
((2, 4), (1, 1))
((5, 12), (2, 7))
((3, 10), (11, 5))
((13, 6), (13, 5))
((12, 4), (3, 9))
((8, 9), (9, 12))
((9, 12), (8, 7))
((10, 2), (1, 9))
((7, 4), (7, 1))
((8, 4), (13, 3))
((13, 2), (10, 10))
((2, 4), (10, 11))
((8, 4), (5, 13))
((13, 13), (13, 9))
((5, 7), (5, 10))
((12, 1), (1, 10))
((3, 1), (3, 1))
((1, 3), (13, 3))
((3, 1), (11, 5))
((1, 8), (13, 1))
((2, 13), (1, 7))
((12, 3), (3, 1))
((12, 4), (3, 1))
((7, 7), (12, 3))
((11, 5), (11, 6))
((13, 12), (3, 9))
((7, 5), (2, 13))
((13, 6), (3, 1))
((2, 4), (12, 1))
((7, 11), (8, 7))
((3, 9), (3, 1))
((8, 9), (5, 1))
((5, 3), (8, 9))
((2, 7), (13, 13))
((13, 12), (7, 13))
((11, 6), (1, 1))
((3, 3), (1, 2))
((10, 1), (1, 10))
((9, 13), (11, 4))
((6, 1), (11, 9))
((10, 2), (7, 13))
((9, 3), (9, 2))
((12, 13), (7, 4))
((11, 8), (9, 9))
((6, 1), (8, 2))
((9, 13), (3, 12))
((3, 6), (13, 11))
((3, 9), (13, 8))
((3, 6), (9, 13))
((11, 7), (11, 10))
((3, 10), (10, 13))
((4, 7), (13, 11))
((11, 9), (2, 4))
((3, 9), (11, 6))
((1, 13), (12, 12))
((8, 9), (2, 1))
((13, 7), (5, 10))
((11, 6), (13, 10))
((10, 13), (13, 5))
((10, 2), (10, 10))
((1, 7), (10, 1))
((1, 12), (9, 6))
((7, 11), (1, 12))
((1, 1), (3, 1))
((13, 4), (12, 13))
((5, 7), (4, 7))
((13, 8), (7, 11))
((12, 3), (6, 7))
((9, 11), (3, 10))
((9, 7), (7, 12))
((3, 6), (7, 4))
((1, 2), (5, 1))
((2, 13), (10, 9))
((9, 12), (12, 4))
((11, 7), (1, 2))
((10, 11), (1, 10))
((13, 6), (13, 3))
((13, 11), (7, 7))
((7, 4), (8, 4))
((10, 2), (13, 4))
((11, 10), (9, 9))
((1, 8), (1, 5))
((11, 4), (5, 5))
((1, 10), (9, 9))
((1, 3), (13, 9))
((10, 2), (13, 13))
((5, 6), (5, 5))
((3, 7), (3, 6))
((7, 7), (1, 5))
((3, 11), (13, 11))
((5, 1), (11, 7))
((2, 1), (6, 7))
((7, 4), (6, 1))
((12, 3), (8, 2))
((10, 10), (3, 9))
((9, 13), (4, 3))
((3, 11), (3, 13))
((3, 2), (10, 1))
((10, 11), (9, 11))
((9, 7), (13, 11))
((5, 4), (11, 1))
((5, 6), (4, 3))
((2, 4), (3, 7))
((12, 2), (9, 9))
((5, 5), (5, 13))
((1, 5), (8, 4))
((13, 5), (10, 9))
((9, 4), (1, 2))
((5, 3), (11, 1))
((13, 11), (11, 5))
((9, 4), (12, 12))
((11, 8), (7, 4))
((13, 4), (1, 4))
((5, 12), (2, 7))
((12, 12), (11, 1))
((9, 7), (13, 4))
((5, 1), (5, 6))
((2, 4), (1, 5))
((1, 1), (9, 5))
((4, 7), (11, 8))
((3, 11), (12, 13))
((5, 12), (8, 4))
((3, 2), (11, 6))
((8, 4), (10, 1))
((11, 1), (5, 7))
((9, 6), (9, 3))
((7, 13), (3, 13))
((3, 2), (7, 13))
((12, 1), (6, 13))
((5, 4), (3, 12))
((5, 5), (9, 7))
((8, 7), (5, 6))
((12, 12), (5, 11))
((13, 1), (2, 13))
((3, 10), (2, 4))
((10, 11), (5, 7))
((7, 10), (7, 11))
((1, 10), (9, 7))
((3, 11), (5, 9))
((9, 2), (9, 13))
((9, 13), (8, 9))
((1, 3), (13, 6))
((10, 13), (12, 13))
((12, 1), (1, 2))
((7, 5), (1, 11))
((9, 12), (5, 11))
((7, 5), (3, 7))
((11, 10), (9, 3))
((10, 1), (11, 10))
((10, 1), (10, 1))
((1, 4), (11, 1))
((3, 2), (1, 13))
((5, 12), (2, 4))
((11, 9), (8, 2))
((10, 11), (10, 10))
((5, 12), (7, 12))
((5, 10), (11, 4))
((7, 5), (1, 11))
((2, 1), (7, 10))
((7, 12), (1, 2))
